segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1290622818_4,1290622818,seomyeon_station_1km,12558301172,11966239386,secondary,전포대로,conditional,43.262,"LINESTRING (129.0652248 35.1628659, 129.0651864 35.1624781)"
1290622818_5,1290622818,seomyeon_station_1km,11966239386,11966239380,secondary,전포대로,conditional,129.989,"LINESTRING (129.0651864 35.1624781, 129.0651834 35.1613980, 129.0651854 35.1613091)"
1290622818_6,1290622818,seomyeon_station_1km,11966239380,12558301200,secondary,전포대로,conditional,36.936,"LINESTRING (129.0651854 35.1613091, 129.0651941 35.1609770)"
1290622818_7,1290622818,seomyeon_station_1km,12558301200,11966239381,secondary,전포대로,conditional,49.28,"LINESTRING (129.0651941 35.1609770, 129.0651995 35.1607446, 129.0652048 35.1605339)"
1290622818_8,1290622818,seomyeon_station_1km,11966239381,12558359604,secondary,전포대로,conditional,38.508,"LINESTRING (129.0652048 35.1605339, 129.0652075 35.1601876)"
1290622818_9,1290622818,seomyeon_station_1km,12558359604,11966239382,secondary,전포대로,conditional,89.192,"LINESTRING (129.0652075 35.1601876, 129.0652005 35.1593855)"
1290622818_10,1290622818,seomyeon_station_1km,11966239382,1768441208,secondary,전포대로,conditional,137.17,"LINESTRING (129.0652005 35.1593855, 129.0652013 35.1581519)"
1290622818_11,1290622818,seomyeon_station_1km,1768441208,12553725999,secondary,전포대로,conditional,37.305,"LINESTRING (129.0652013 35.1581519, 129.0652075 35.1579487, 129.0652109 35.1578165)"
1290622818_12,1290622818,seomyeon_station_1km,12553725999,11966239383,secondary,전포대로,conditional,8.2,"LINESTRING (129.0652109 35.1578165, 129.0652141 35.1577428)"
1290622818_13,1290622818,seomyeon_station_1km,11966239383,1768441218,secondary,전포대로,conditional,40.306,"LINESTRING (129.0652141 35.1577428, 129.0652144 35.1576538, 129.0652295 35.1573806)"
1290622818_14,1290622818,seomyeon_station_1km,1768441218,1450699345,secondary,전포대로,conditional,9.0,"LINESTRING (129.0652295 35.1573806, 129.0652324 35.1572997)"
1290623149_1,1290623149,seomyeon_station_1km,11966240031,11966240032,footway,,direct,12.319,"LINESTRING (129.0651393 35.1554868, 129.0652748 35.1554869)"
1290623149_2,1290623149,seomyeon_station_1km,11966240032,11966240033,footway,,direct,17.655,"LINESTRING (129.0652748 35.1554869, 129.0654690 35.1554869)"
1290623149_3,1290623149,seomyeon_station_1km,11966240033,11966240034,footway,,direct,10.928,"LINESTRING (129.0654690 35.1554869, 129.0655892 35.1554874)"
1290623150_1,1290623150,seomyeon_station_1km,11966240035,11966240037,footway,,direct,12.648,"LINESTRING (129.0651460 35.1546291, 129.0652851 35.1546311)"
1290623150_2,1290623150,seomyeon_station_1km,11966240037,11966240038,footway,,direct,17.449,"LINESTRING (129.0652851 35.1546311, 129.0654770 35.1546339)"
1290623150_3,1290623150,seomyeon_station_1km,11966240038,11966240036,footway,,direct,7.574,"LINESTRING (129.0654770 35.1546339, 129.0655603 35.1546351)"
1290623151_1,1290623151,seomyeon_station_1km,11966240039,11966240042,footway,,direct,7.709,"LINESTRING (129.0651207 35.1522997, 129.0651232 35.1522304)"
1290623151_2,1290623151,seomyeon_station_1km,11966240042,11966240041,footway,,direct,32.727,"LINESTRING (129.0651232 35.1522304, 129.0651337 35.1519362)"
1290623151_3,1290623151,seomyeon_station_1km,11966240041,11966240040,footway,,direct,10.98,"LINESTRING (129.0651337 35.1519362, 129.0651372 35.1518375)"
1290623152_1,1290623152,seomyeon_station_1km,11966240043,11966240048,footway,,direct,2.848,"LINESTRING (129.0651409 35.1494022, 129.0651590 35.1493813)"
1290623152_2,1290623152,seomyeon_station_1km,11966240048,11966240049,footway,,direct,17.107,"LINESTRING (129.0651590 35.1493813, 129.0652680 35.1492559)"
1290623152_3,1290623152,seomyeon_station_1km,11966240049,11966240044,footway,,direct,5.263,"LINESTRING (129.0652680 35.1492559, 129.0653015 35.1492173)"
1290623153_1,1290623153,seomyeon_station_1km,11966240044,11966240045,footway,,direct,3.499,"LINESTRING (129.0653015 35.1492173, 129.0653131 35.1491873)"
1290623154_1,1290623154,seomyeon_station_1km,11966240045,11966240047,footway,,direct,1.885,"LINESTRING (129.0653131 35.1491873, 129.0653059 35.1491714)"
1290623154_2,1290623154,seomyeon_station_1km,11966240047,11966240046,footway,,direct,8.166,"LINESTRING (129.0653059 35.1491714, 129.0652748 35.1491025)"
1290623155_1,1290623155,seomyeon_station_1km,11966240043,11966240050,footway,,direct,7.505,"LINESTRING (129.0651409 35.1494022, 129.0650717 35.1494390)"
