vertexId,osm_node_id,point
335,1771272748,POINT (129.0658994 35.1643331)
336,1771272761,POINT (129.0656074 35.1639670)
337,1771272765,POINT (129.0662199 35.1655284)
338,1771272788,POINT (129.0660657 35.1642487)
339,1771272801,POINT (129.0673937 35.1662885)
340,1771272853,POINT (129.0660698 35.1632677)
341,1771272856,POINT (129.0672747 35.1647085)
342,1771272878,POINT (129.0676241 35.1632706)
343,1771272881,POINT (129.0669732 35.1664729)
344,1771278594,POINT (129.0671761 35.1612963)
345,1771278600,POINT (129.0661281 35.1580653)
346,1771278621,POINT (129.0628808 35.1623771)
347,1771278625,POINT (129.0661188 35.1585699)
348,1771278634,POINT (129.0654218 35.1613052)
349,1771278637,POINT (129.0675496 35.1624606)
350,1771278641,POINT (129.0632506 35.1628497)
351,1771278644,POINT (129.0676300 35.1635598)
352,1771278647,POINT (129.0668615 35.1603865)
353,1771278649,POINT (129.0679541 35.1598903)
354,1771278653,POINT (129.0660818 35.1612863)
355,1771278655,POINT (129.0637680 35.1625689)
356,1771278659,POINT (129.0646129 35.1635246)
357,1771278661,POINT (129.0632613 35.1612750)
358,1771278683,POINT (129.0654133 35.1621734)
359,1771278693,POINT (129.0660987 35.1606949)
360,1771278698,POINT (129.0671699 35.1602502)
361,1771278708,POINT (129.0660952 35.1601916)
362,1771278710,POINT (129.0681471 35.1634396)
363,1771280798,POINT (129.0679876 35.1614299)
364,1771280803,POINT (129.0684744 35.1596614)
365,1771280809,POINT (129.0680191 35.1590064)
366,1771280813,POINT (129.0704419 35.1608217)
367,1771280815,POINT (129.0689840 35.1601504)
368,1771280819,POINT (129.0683700 35.1615009)
369,1771280820,POINT (129.0687587 35.1600210)
370,1771280825,POINT (129.0689290 35.1632335)
371,1771280830,POINT (129.0688378 35.1615078)
372,1771280832,POINT (129.0687319 35.1632598)
373,1771290780,POINT (129.0629547 35.1593700)
374,1771290781,POINT (129.0638138 35.1597533)
375,1771290802,POINT (129.0647985 35.1588711)
376,1771290805,POINT (129.0623318 35.1593653)
377,1771290814,POINT (129.0638195 35.1593767)
378,1771290828,POINT (129.0665646 35.1594097)
379,1771290830,POINT (129.0629717 35.1582817)
380,1771290836,POINT (129.0682013 35.1582069)
381,1771290837,POINT (129.0654404 35.1593891)
382,1771290838,POINT (129.0672040 35.1590358)
383,1771290840,POINT (129.0638086 35.1600895)
384,1771290841,POINT (129.0672059 35.1585766)
385,1771290842,POINT (129.0648019 35.1585071)
386,1771290854,POINT (129.0671976 35.1594195)
387,1771290856,POINT (129.0647904 35.1597526)
388,1771290863,POINT (129.0675340 35.1594340)
389,1771290866,POINT (129.0661256 35.1582025)
390,1771290869,POINT (129.0664437 35.1590343)
391,1771290881,POINT (129.0629613 35.1590100)
392,1771290883,POINT (129.0661757 35.1582043)
393,1771290891,POINT (129.0648003 35.1586826)
394,1771290893,POINT (129.0638249 35.1590283)
395,1771290912,POINT (129.0661103 35.1590334)
396,1771290914,POINT (129.0662960 35.1585710)
397,1771290916,POINT (129.0647938 35.1593841)
398,1771290918,POINT (129.0647969 35.1590487)
399,1771290920,POINT (129.0638330 35.1584961)
400,1771290922,POINT (129.0672096 35.1582050)
401,1771290924,POINT (129.0629678 35.1586549)
402,1771290928,POINT (129.0681272 35.1585798)
403,1771290930,POINT (129.0638304 35.1586679)
404,1771290938,POINT (129.0661035 35.1594014)
405,1771290939,POINT (129.0638275 35.1588580)
406,1771290941,POINT (129.0629455 35.1600960)
407,1771302035,POINT (129.0619359 35.1640223)
408,1771302044,POINT (129.0629207 35.1636000)
409,1771302057,POINT (129.0624312 35.1642572)
410,1771302058,POINT (129.0617315 35.1627814)
411,1771302062,POINT (129.0625628 35.1631436)
412,1771302064,POINT (129.0633833 35.1642020)
413,1771311960,POINT (129.0599604 35.1624396)
414,1771311961,POINT (129.0581950 35.1604427)
415,1771311962,POINT (129.0525610 35.1609990)
416,1771311963,POINT (129.0530813 35.1599268)
417,1771311964,POINT (129.0546938 35.1599891)
418,1771311966,POINT (129.0530799 35.1591111)
419,1771311971,POINT (129.0595546 35.1615281)
420,1771311974,POINT (129.0593911 35.1625245)
421,1771311975,POINT (129.0599924 35.1631824)
422,1771311977,POINT (129.0591859 35.1620735)
423,1771311980,POINT (129.0583795 35.1624232)
424,1771311982,POINT (129.0593228 35.1605895)
425,1771311983,POINT (129.0595796 35.1622596)
426,1771311987,POINT (129.0597740 35.1627077)
427,1771311991,POINT (129.0595755 35.1629862)
428,1771311993,POINT (129.0589709 35.1615916)
429,1771311994,POINT (129.0524663 35.1612430)
430,1771311995,POINT (129.0591912 35.1628053)
431,1771311996,POINT (129.0533028 35.1582635)
432,1771311997,POINT (129.0588025 35.1626223)
433,1771311998,POINT (129.0585881 35.1621298)
434,1771312005,POINT (129.0570664 35.1602940)
435,1771312008,POINT (129.0589981 35.1623366)
436,1771312010,POINT (129.0534498 35.1577046)
437,1771312013,POINT (129.0531919 35.1586860)
438,1771312014,POINT (129.0529411 35.1596386)
439,1771312016,POINT (129.0608410 35.1598197)
440,1771312018,POINT (129.0557830 35.1601346)
441,1771312020,POINT (129.0597660 35.1619978)
442,1771314264,POINT (129.0585139 35.1613826)
443,1771314265,POINT (129.0591421 35.1613507)
444,1771314267,POINT (129.0581593 35.1608406)
445,1771314268,POINT (129.0570938 35.1612739)
446,1771314270,POINT (129.0575210 35.1607402)
447,1771314272,POINT (129.0586847 35.1611409)
448,1771314273,POINT (129.0599623 35.1617220)
449,1771314274,POINT (129.0581176 35.1612027)
450,1771314277,POINT (129.0589120 35.1590325)
451,1771314278,POINT (129.0584769 35.1595227)
